id,vcpus,ram,hasGpu,storageType,diskType,instanceType
165,2,8,false,ebs,ssd,m5.large
166,4,16,false,ebs,ssd,m5.xlarge
167,8,32,false,ebs,ssd,m5.2xlarge
168,2,8,false,ebs,ssd,m5a.large
169,4,16,false,ebs,ssd,m5a.xlarge
170,8,32,false,ebs,ssd,m5a.2xlarge
171,2,8,false,ebs,ssd,m5zn.large
172,4,16,false,ebs,ssd,m5zn.xlarge
173,8,32,false,ebs,ssd,m5zn.2xlarge
174,2,4,false,ebs,ssd,c5.large
175,4,8,false,ebs,ssd,c5.xlarge
176,8,16,false,ebs,ssd,c5.2xlarge
177,2,4,false,ebs,ssd,c5a.large
178,4,8,false,ebs,ssd,c5a.xlarge
179,8,16,false,ebs,ssd,c5a.2xlarge
180,2,16,false,ebs,ssd,r5.large
181,4,32,false,ebs,ssd,r5.xlarge
182,8,64,false,ebs,ssd,r5.2xlarge
183,2,16,false,ebs,ssd,r5a.large
184,4,32,false,ebs,ssd,r5a.xlarge
185,8,64,false,ebs,ssd,r5a.2xlarge
186,4,32,false,ebs,ssd,d3.xlarge
187,8,64,false,ebs,ssd,d3.2xlarge
188,2,15.25,false,ebs,ssd,i3.large
189,4,30.5,false,ebs,ssd,i3.xlarge
190,8,61,false,ebs,ssd,i3.2xlarge
191,2,16,false,ebs,ssd,z1d.large
192,4,32,false,ebs,ssd,z1d.xlarge
193,8,64,false,ebs,ssd,z1d.2xlarge
